course_name,o_summarized,course_code
Master of Energy System Management (Professional),The Master of Energy System Management (Professional) program at Deakin University is designed to provide students with a comprehensive understanding and practical skillset for designing energy management systems that can be applied globally through industry-based placements or internships in renewable energy projects.,S757
Master of Information Systems,"The Master of Information Systems program at Deakin University is designed for students who want a career that combines business and information systems principles with technology-inspired change management skills to solve complex problems within organizations or governments worldwide. The curriculum covers the strategic use of digital transformation in eBusiness applications as well as an understanding of specific areas such as supply chain, project management, stakeholder analysis, negotiation/specification requirements for any solution that may involve technological changes and business analytics principles (AI strategy &amp;&nbsp;management or Business Analytics). The program also offers a specialisation option to deepen knowledge in particular fields like AI Strategy Management.",M722
Master of Applied Sport Science,"The Master of Applied Sports Sciences is a highly sought-after degree program that prepares students for careers within the sports industry by providing them with practical skills and knowledge to enhance their performance analysis abilities while also developing leadership capabilities through studies in management training programs such as Leadership Development Program (LDP) or Culture & Change Management. The curriculum focuses on critical thinking, evidence based decision making processes using research from Deakin's multi-disciplinary Centre for Sport Research (CSR), Institute of Physical Activity and Nutrition (IPAN). Students gain access to world class facilities through the Specialised Indooor Exercise and Sports Science Teaching Building in Melbourne as well as Elite Regional Sporting Precincts.",H707
Graduate Certificate of Digital Finance,"The Graduate Certificate of Digital Finance is a course designed to equip students with the essential skills needed for success within finance roles that are relevant across various industries and seniorities such as analyst positions or regulatory technology compliance (regtech). The program focuses on understanding digital transformation in financial markets through technologies like artificial intelligence, blockchain, data analytics, cryptocurrency. It also emphasizes developing fundamental knowledge of these tools to work with the essential concepts behind new products/services within finance roles that are applicable across various industries and seniorities such as analyst positions or regulatory technology compliance (regtech).",M535
Graduate Certificate of Disability and Inclusion,"The Graduate Certificate of Disability and Inclusion is an online course that offers flexible delivery options for busy students who want to advance their careers without committing too much time or energy into a Master's degree program. The curriculum focuses on disability theory, practice in the sector, as well as international developments related to human rights law such as UNCPRD conventions. Students have access to leading researchers and academics embedded within this field of study while also being challenged by current legislation updates relevant for their future careers working with people living disabilities or those who work closely alongside them like NDIS professionals.",H508
Graduate Diploma of Professional Writing,"The course ""Graduate Diploma Professional Writing"" at Deakin University provides students with the skills and knowledge to pursue careers within various industries such as publishing, advertising agencies or marketing firms where they can work on a variety of briefs ranging from feature writing for magazines like The Age's Womens Weekly Magazine, social content creation in Facebook Ads targeting specific audiences through targeted ads using data-driven insights. Students will gain expertise and develop their skills by exploring the foundations of good writing, researching blueprint drafts with different concepts to tailor them into a final draft that is polished enough to impress clients or employers while also maintaining authenticity as an emerging writer/artist. The course offers students opportunities for collaboration through student publications like VeraNdaH where they can gain experience in selecting and editing submissions before publishing their work on the platform, showcasing skills such as critical thinking, creative writing abilities, research techniques, data analysis to help them stand out from other writers or artists within a competitive field of talent.",A661
Graduate Certificate of Specialist Inclusive Education,"The Graduate Certificate of Specialist Incclusive Education is an online course that focuses on building skills for support roles within the education sector to create more inclusive environments and promote social justice principles aligned with strong governance practices. The study areas include engaging diversity in a classroom setting; analyzing goals, purpose, challenges faced by diverse students learning together; creating positive learning spaces based upon student strengths rather than disabilities or abilities; aligning teaching methods with current industry trends such as gamification to enhance engagement for all learners and promoting digital accessibility through online platforms like Deakin's. The course is delivered entirely via the premium platform of DeaKin, which offers a digitally accessible environment while also providing access to highly experienced educators in their respective fields who are recognized innovators within education practice.",E544
Graduate Diploma of Sustainability,"The Graduate Diploma of Sustainability is a flexible degree that builds on previous coursework and provides students with an opportunity to deepen their understanding of sustainability issues while developing practical skills for the future workforce. The program offers various elective options in key areas such as environmental science or global change which enable individuals to explore interests they have, build knowledge through hands-on experiences like internships at local organizations, gain experience working on real projects and develop a strong foundation that will be valuable throughout their career path.",S627
"Graduate Certificate of Adult, Vocational Education and Training","The Graduate Certificate Course for Adult Vocational Education and Training is a course that will equip you with advanced knowledge of teaching practices within TAFE/VET systems to meet the growing demand for teachers while also developing your agency in classrooms through independent research projects. The supervised professional practice component provides support as well as transferable skills such as critical enquiry, collaboration, strategic thinking and more which can be applied into future VET education roles or even teaching careers outside of TAFE/VET systems. With Deakin's premium online platform for delivery via three study periods across the year in any semester you choose to start your course at anytime during that academic period",E506
Graduate Diploma of Literary Studies,The Graduate Diploma of Literary Studies offered by Deakin University is designed for students who are passionate about literature and writing but lack practical experience or industry-specific skills to pursue a career within the field.,A635
Graduate Diploma of Museum Studies,"The Graduate Diploma of Museum Studies is designed for individuals who want to enter the museum sector and gain hands-on skills required such as interpretation, collections management, cataloguing/documentation, exhibition planning, budgets & policy development, audience involvement in exhibitions. The program also offers elective units including World Heritage Intangible Cultural Heritage Digital Interpreting Applied Heritage Project Internship Curating digital objects from a collection of the world's most valuable cultural heritage items such as ancient manuscripts and rare books or artworks that are now housed at museums around Australia",A668
Master of Nutrition and Population Health,"The course is an advanced one on Human Nutrition which draws from related disciplines like Public Health and Food Science to develop knowledge about the biological aspects of human nutrition along with social policy factors that affect it such as food security issues or health disparities in different populations. The skills acquired through this program will enable individuals who complete their education, including those pursuing a career path within public service agencies, private practice settings, non-profit organizations and academia to effectively provide nutritional counseling services for various population groups while maintaining the ethical standards of nutritionists such as confidentiality, informed consent or promoting healthy lifestyle choices.",H748
Graduate Certificate of Artificial Intelligence,The Graduate Certificate Program at Deakin University offers an opportunity for IT professionals to gain foundational knowledge about Artificial Intelligence (AI) and develop skills necessary to design intelligent machines that power our future with hands-on experience of software development using AI technology in a real world scenario.,S536
Master of Disability and Inclusion,"The Master's Degree program is designed for individuals who are passionate about social change that promotes the rights of people with disabilities to live fulfilling lives and be included within society through inclusive practices such as technology design solutions or community capacity building projects in a global context where disability legislation has been updated. The curriculum focuses on core concepts, contemporary theory, policy development, research designs, human rights responses, planning for inclusion initiatives that are informed by the United Nations Convention of Rights of Persons with Disabilities and Australia's National Disability Insurance Scheme (NDIS). Students have access to assessment projects anchored in developments within their field or community.",H709
Graduate Diploma of Health Promotion,"The Graduate Diploma of Health Promotion is a program that trains individuals on how to improve health and wellbeing through practical action at grassroots level by addressing causes such as chronic diseases like diabetes, cancer, stroke, depression etc., empowering people with evidence-based strategies for prevention long before any issues appear. The course focuses on social conditions impacting health while also providing hands-on practice in developing initiatives that address these challenges to reduce the cost and burden of disease through preventative measures at a grassroots level significantly reducing healthcare costs by preventing chronic diseases such as diabetes, cancer etc.,",H615
Executive Graduate Certificate of Sport Business,"The Australian sports industry is set to undergo a transformation period with major international sporting events such as FIFA Women's World Cup 2022, Commonwealth Games 2026 and Rugby World Cups 2021-2027 being hosted by Australia. The Executive Graduate Certificate of Sport Business offered at Deakin University provides an unparalleled level of knowledge for managers in the sport sector who are already working or looking to work within this industry. With a flexible delivery system geared towards professionals seeking career advancement, students can gain expertise and develop skills necessary such as negotiation abilities, decision-making theories like game theory, ethical responsibilities related to sports organizations' operations with law regulations governing commercial activities of these entities in the sport sector.",M539
Graduate Certificate of Health Promotion,"The article discusses various aspects related to health promotion and its importance for individuals' well-being. It highlights the need for employers to incorporate healthy lifestyles into their cultures by offering wellness programs or promoting physical activity through policies such as flexible working hours. The author also emphasizes that it is essential not only in workplaces but across all areas of life, including schools and communities where health promotion can be implemented effectively with minimal resources required.",H515
Graduate Certificate of Human Nutrition,"The Graduate Certificate of Human Nutrition is a leading human nutrition course that offers students advanced knowledge and skills to shape discussions on the connection between diet and health through evidence-based studies from various disciplines such as food science, biochemistry, physiology, epidemiology, psychology, public health, politics. The program attracts high achievers in diverse sectors including professionals looking for career growth or enhancing quality of care with expertise in human nutrition. It is an opportunity to combat misinformation on diet and its impact on overall well-being through the Nutrition Society's Register of Nutritionists list that includes qualified individuals who can provide reliable information based on evidence from various fields such as food science, biochemistry, physiology etc.,",H511
Juris Doctor,"The Deakin Juris Doctor (JD) program combines academic learning with practical skills necessary for legal practice while focusing on current policy issues and research methods to develop a broader understanding of the law's underlying policies that inform it. Assignments include writing problem-based advice or oral bail applications as well as preparing memos, court submissions, file management projects in addition to group assignments required by some units such as team work skills development for future roles with colleagues at your workplace. The program meets academic requirements necessary for admission into legal practice and is designed specifically towards producing graduates who can become first-class law practitioners through comprehensive training across the major areas of legal practice while embedding research, theory, policy considerations throughout their curriculum to prepare them as successful lawyers in a competitive industry where they will need skills such as communication with clients.",M729
Master of Public Health,"The Master of Public Health is a course that prepares individuals for leadership roles within the field by focusing on evidence-based initiatives to solve global health issues through various career pathways such as epidemiology and public policy work. The program offers direct access to world class research produced at Deakin's Institute for Health Transformation led by internationally recognized researchers, providing valuable knowledge throughout ones entire professional journey in addition to case studies used during coursework.",H757
Graduate Certificate of Information Systems,The Deakin University graduate certificate program for information systems is designed to provide a strong technical background and increase employability among professionals working within business or government sectors such as supply chain management.,M522
Graduate Diploma of Psychological Science,"The Graduate Diploma of Psychological Science is a course that allows students to complete an accredited psychological undergraduate degree program within one year (if studying full-time). It covers the fundamentals and complex topics like child development, psychology, psychopathology, neural structure, social behaviour. The APAC accreditation ensures graduates can apply for provisional registration with Psychology Board of Australia after completing a fourth year course in their field.",H603
Master of Business Administration,"The Deakin MBA is an award-winning online business school offering high achievers the opportunity for personalised learning support and writing workshops through a modular course structure that allows students to tailor their studies based on career goals while being exposed to emerging topics such as blockchain. The program offers networking opportunities with industry partners and professors, leading experts in various fields who work together creating an engaging curriculum grounded in real-world business challenges. With the option for masterclasses focused solely on future areas of interest like agile or digital transformation, students can fast track their studies while gaining valuable insights into these emerging topics through workshops led by true subject matter experts from around Australia and beyond.",M701
Graduate Certificate of Creative Arts,"The Graduate Certificate of Creativity is a program that focuses on developing practical skills and understanding contemporary approaches to creativity through collaboration with artists from diverse disciplines such as visual arts, photography, animation/motion capture design communication art, dance & drama in addition to core unit study. Electives offer hands-on experience while strengthening transferable creative repertoire for career growth opportunities including writing, documentary production practice, marketing introduction of digital photography and problem solving skills through the use of theoretical frameworks applied within teams or as an individual with industry relevant projects that challenge students' imagination and creativity capabilities in a professional setting such as TV broadcast studios dance/drama studio's.",A559
Graduate Diploma of Business Administration,"The text describes a graduate diploma course offered by Deakin University that is designed to provide students with business expertise and prepare them for management roles across various sectors of the economy such as retail, hospitality, finance or marketing services among others.",M601
Master of Financial Planning,"The Master of Financial Planning is a program designed to meet Australia's new financial planning standards set by the Australian Securities and Investments Commission (ASIC). It combines ethical decision-making with modern advice strategies for aspiring or current professionals in finance who want career advancement. The course emphasizes professional responsibilities such as compliance regulations while learning from industry leaders, building relationships through constructive feedback sessions on expectations within their field of work.",M769
Master of Information Technology (Professional),"The Master of Information Technology (Professional) is a program designed specifically for students who want an advanced degree with industry-based learning opportunities and research projects under the supervision of internationally recognized researchers to develop their IT skills while also gaining practical experience in real world applications. The course focuses on developing teamwork and leadership abilities through mentorship during internships, cutting edge technology solutions researching as well as a strong focus on information security which is essential for today's digital age where data breaches are common occurrences due to the increasing reliance of organizations on online systems such as e-commerce platforms or social media sites.",S779
Master of Arts (Writing and Literature),"The Master's degree program is designed to provide students with a comprehensive education that includes both theoretical knowledge through literature courses such as English Literature or American Studies and practical skills related to writing, editing, research analysis, publishing, marketing, communication, problem-solving, critical thinking.",A764
Master of Health and Human Services Management,"The Master of Health and Human Services Management is designed to equip students with leadership skills necessary for managing complex healthcare organizations while contributing positively towards improving health outcomes globally through their platform within the sector's growth opportunities. The course covers a range of electives in five specializations areas: public health, business administration, disability inclusion research, which are curated based on individual interests and career goals such as clinical management or policy-making roles to develop core skills that can be applied across various healthcare settings while gaining practical experience through industry placements with partners like agencies. The course also offers opportunities for overseas study tours/internships in prominent NGOs within the sector's growth areas, which further enhance employability prospects and global perspectives on leading practices by contributing towards a more inclusive health services landscape globally",H756
Graduate Certificate of Construction Management,"The Graduate Certificate of Construction Management is a program designed for graduates from related built environment disciplines looking to transition into the construction industry and gain knowledge on management and procurement within it. It offers courses such as project planning, risk assessment, design-build methodologies, contract administration, cost estimating techniques, building information modeling (BIM), site selection criteria, land use regulations, environmental impact assessments, quality control systems in built facilities, among others. The program also includes internships with construction companies and opportunities to work on real projects as a student employee of the company for which you are studying under this certificate.",S591
Master of Applied Learning and Teaching (Secondary),"The Master of Applied Learning & Teaching (Secondary) is designed for professionals who want an applied and holistic approach towards teaching secondary students with a focus on experiential learning pedagogy that enhances student engagement while molding their studies to personal strengths, interests, goals.",E737
Graduate Diploma of Counselling,"The Graduate Diploma of Counseling is a course that provides students with the knowledge and skills necessary to effectively support individuals who have mild or moderate mental health problems through counseling placements during their 100-hour program at Deakin University in Australia. The focus on telecounselling as well as counselling diversity makes this an ideal choice for those interested in entering careers related to these fields, such as social workers, teachers and supervisors among others. By studying with the university ranked highly by Research Australia (ERA) 2018, students will gain practical knowledge relating to counseling micro-skills, mental health issues professional practice problems human development multicultural counselling therapies ethics while also developing relationships that support their future employment opportunities in a variety of fields such as those mentioned above and beyond.",H658
Graduate Diploma of Property,"The Deakin Graduate Diploma of Property is a course designed to prepare individuals for careers within the real estate industry or related fields such as construction management and property development. It focuses on developing core professional skills including valuation techniques, sustainability in built environments, collaboration with stakeholders involved in building projects, understanding legal aspects surrounding properties, investment strategies, and advanced valuations methods used by professionals like surveyors and architects to value land for commercial purposes. The course also covers the role of a solicitor or conveyancer who is responsible for drafting property deeds, wills, trusts, powers-of attorney documents that are essential in managing real estate assets during their lifetime as well as after death when they pass on ownership rights through these legal instruments.",M633
Master of Cultural Heritage and Museum Studies,"The Master's program at Deakin University is a comprehensive training that offers students the opportunity to specialize their career paths through various disciplines such as exhibitions and collections management or heritage practice with an emphasis on Indigenous cultural heritage preservation. The core units cover traditions of culture while exploring current social issues in Heritage Management, Human Rights in Museums, Research Design for Collections & Curatorship/Heritage Practice, Intangible Cultural Heritage Preservation, Sustainable Development Goals (SDGs), Social Responsibility and Ethics at Workplace or Internship Unit with a professional work placement. The program also offers the opportunity to expand networks through internships abroad while completing an internship unit in Australia that helps students gain industry knowledge as well as extend their career opportunities by applying for dual awards such as Cultural Heritage & Museum Studies, World Heritage Scholarships and Dual Awards at Brande-nburg University of Technology (BTU) Germany.",A768
Diploma of Indonesian,"The Deakin Diploma of Indonesian is a language course designed for students who want to develop their skills or deepen knowledge about the country's culture and ways of life through learning communication techniques like speaking, writing, reading comprehension, vocabulary building, grammar rules, sentence structure in Indonesia. The program also offers an opportunity to study at-least one foreign language as well as gain a global perspective that can be beneficial for career development outside Australia or when working with international clients/clients from other countries where the Indonesian is spoken natively like Malaysia and Singapore etc..",A223
Graduate Certificate of Human Resource Management,The Graduate Certificate and Diploma programs offered by Deakin University are designed to provide students with a comprehensive understanding of human resources management (HRM) practices within the Australian context.,M515
Master of Applied Artificial Intelligence (Professional),"The Master's degree program ""Master of Applied Artificial Intelligence (Professional)"" is designed for individuals with a strong interest or background in artificial intelligence and its applications to software development.",S737
Graduate Certificate of Engineering,"The course ""Mastering Project Management"" is designed for individuals with a three-year undergraduate degree or membership to Engineers Australia who want advanced engineering skills and the ability to design projects professionally within their team. The program focuses on project management techniques such as risk assessment, stakeholder engagement, communication strategies, change control processes, quality assurance systems, financial planning, budgeting & forecasting, contract administration, procurement of goods/services, IT infrastructure implementation (e-learning) , data protection and privacy in the age of digitalisation, cloud computing and big Data. The course also includes a project workbook where students can apply their skills to real world projects through case studies or group activities such as presentations on current industry trends & best practices for engineering professionals working with clients/customers across various industries including finance, retailing etc.,",S550
Graduate Diploma of Public Relations,"The Graduate Diplomas are designed for individuals who wish to upskill and develop their professional identity by studying the field of public relations with a focus on crisis communications, digital communication, social media marketing, reputation management, issues analysis, stakeholder engagement, authentic assessment tasks such as developing campaigns. The course is accredited in consultation with industry experts while setting students up for sustained career growth through internships/work-integrated learning opportunities and exposure to theories behind public relations practice. Graduates can pursue further studies into the Master of Communication or other careers upon successful completion",A643
Graduate Diploma of Therapeutic Child Play,The Graduate Diploma of Therapeutic Childplay is a program designed to train professionals working with children on regular basis such as health practitioners and educators who want valuable new skills that can enhance their work experience by introducing play assessment techniques in therapeutic settings while learning from pioneering academics.,H605
Master of Criminology,"The Master of Criminology program at Deakin University is designed for individuals who want the skills necessary to deliver justice effectively while challenging themselves with emerging crimino-logical concerns such as state and private control over security development in a digital world; offender/victim relationships within online platforms. The course offers various electives, including Environmental Offenders & Victims Human Rights In World Politics Governance And Fraud Computer Networks And Security Cybercrime Prevention Strategies Artificial Intelligence Robotics Crime Detection Technology Law Enforcement Techniques Prosecution Methods Sentencing Reforms Victim Support and Advocacy Criminal Justice Systems in the United States of America",A704
Graduate Certificate of Applied Learning and Teaching,"The course ""Master of Applied Learning & Teaching"" is a program that provides opportunities and skills training within education-related fields such as teaching methods research design assessment evaluation learning management systems technology applications pedagogy curriculum development leadership communication with students parents community partnerships professional growth. It offers an alternative exit for those wishing to discontinue the Masters degree, while also providing flexibility in terms of graduating options (Graduate Certificate).",E537
Graduate Certificate of Epidemiology Intelligence,"The Graduate Certificate of Epidemiology Intelligence is a program that provides students with the knowledge to understand public health from an epidemiological perspective while also acquiring skills such as data analysis and problem-solving through hands on experience working at local level in Australia's largest industry. The course offers opportunities for career advancement within international organizations like WHO, UNICEF or even further into masters courses related to Public Health Management/Economics etc..",H546
Graduate Certificate of Health and Human Services Management,The Graduate Certificate of Healthcare Administration is a program designed to provide students with an understanding of healthcare administration and management skills necessary for success within health organizations such as hospitals or clinics.,H556
Graduate Certificate of International Relations,"The Graduate Certificate of International Relations is an opportunity for students interested in international relations and diplomacy who want practical skills training with a focus on global problems such as climate change or poverty eradication to develop their analytical abilities through core units that cover world politics from the 21st century. The course offers flexibility options including online study, campus-based learning opportunities at Deakin University Melbourne Australia where students can explore diverse international relations courses and gain exposure in various sectors of society like government agencies non-government organisations multicultural associations management businesses etc., with a focus on developing core understanding about world politics evolution into the 21st century.",A503
Master of Architecture,"The Master of Architecture program at RMIT provides students with a comprehensive education that prepares them for contemporary professional practice by developing skills such as critical thinking and problem-solving through the study of architecture theory, design principles, sustainability practices, technological advancements in building materials and processes. The course also offers opportunities to work collaboratively on real world projects under supervision from registered architects while gaining practical experience with state-of-the art tools like 3D printers for creating models that can be used as part of their portfolio or presented during job interviews. Additionally, the program provides students access to a studio space where they have an opportunity to develop and experiment in order to gain advanced skills through real world projects under supervision from registered architects while gaining practical experience with state-of-the art tools like 3D printers for creating models that can be used as part of their portfolio or presented during job interviews.",S700
Graduate Certificate of Digital Transformation and Cyber Security,"The Graduate Certificate of Digital Transformation and Cyber Security at DeaKin Business School is designed to equip graduates with the skills necessary for leadership roles within organizations that are undergoing digital transformation processes while also ensuring their systems remain secure from cyber threats through advanced knowledge in both areas. The course covers a range of application domains such as law, technical management, supply chain management, and more which will provide future-proofing opportunities when applying these strategies to the workplace.",M568
Graduate Certificate of Diabetes Education,The Graduate Certificate of Diabetes Education (GCD) offered by Deakin University is the longest-running course focused on diabetes education and management worldwide with evidence based approaches to prevent or manage type 1 & 2 diabetics through diet medication lifestyle changes as well as social support.,H520
Master of Psychology (Organisational),"The Master of Psychology (OrganiSatioal) is a highly sought after course that provides students with the skills and training needed to become an expert organisationa l psychologist who can make positive contributions towards employee wellbeing within their workplaces or organizations in general. The curriculum includes placement opportunities for practical experience as well as relevant theory-based learning, ensuring graduates are equipped with valuable knowledge they will need throughout their careers.",H752
"Bachelor of Film, Television and Animation (Honours)",The Honours Year is an advanced research project for undergraduate students who want to further their skills and knowledge on screen practice through Deakin's Bachelor of Film Television Animation (Honours).,A452
Diploma of Arabic,"The Deakin Diploma of Arabic is an award-winning language program designed for students who want to deepen their cultural understanding and develop communication skills while learning a new language like Arabic or Farsi/Persian. The eight-week study period in Oman offers practical experience with native speakers as well as insights into the culture, way of life, religion, history, politics, society, economy, art forms, music, sports etc., making it an excellent opportunity for students to build a global career while developing their language skills and adaptability.",A221
Master of Clinical Exercise Physiology,"The Deakin's Master of Clinical Exercise Physiology course is an approved pathway towards accreditation with the Australian College of Sports and Physical Therapy (ACSPT). The program offers world-class facilities for learning alongside brilliant teachers who are leaders in their field. Graduates will be eligible to apply for provider numbers, compensable funds/schemes, as well as gain experience working one on one with patients through clinical placements at the award winning Deakin Clinical Exercise Centre (DCEC).",H743
Bachelor of Creative Arts (Honours),"The Bachelor's degree is designed to provide students with the theoretical and practical skills necessary for success within their chosen field of study while also allowing them time off during an individual creative project year where they can develop valuable research and life skills in a specific area that interests them. The program offers interdisciplinary focus on various areas such as dance, drama, photography, design, visual arts with opportunities to form relationships through critical feedback from industry connections or peers within related fields of study while also developing scholarly research abilities for future careers beyond the undergraduate degree level.",A450
Graduate Certificate of Health Research Practice,"The Graduate Certificate of Health Research Practice is a two-trimester program designed for graduates with an interest or passion to advance their research capabilities through practical skills and exposure under the guidance of leading researchers from our high-achieving School of Exercise & Nutrition Sciences. The course consists of conducting a literature review followed by developing a research proposal, which can be used as a stepping stone towards further education such as PhDs in Health Research Management or Master's degrees with specialization areas like Public Policy and Clinical Practice/Health Services Administration (MPA). Flexible online delivery makes it easier for students to fit their studies around work schedules.",H541
Master of Professional Psychology,"The article discusses a five-year APA Caccredited Master of Professional Psychology program that prepares students for professional practice and advanced skills such as psychological assessment techniques, ethics training, therapeutic interventions, evidence-based psychotherapy approaches like cognitive behavior therapy (CBT), application methods in different types of assessments including personality tests, intelligence testing. The course also includes workshops, placement opportunities with established professionals to gain practical experience on the job site while studying at a university that is ranked #1 for education experiences and learning resources support services among all Victorian universities worldwide according to Deakin's ranking system.",H744
Graduate Certificate of Communication,"The Graduate Certificate of Communication is a course that provides specialized knowledge about communication skills such as strategic thinking, critical analysis, media production, public relations and visual design to enhance career opportunities for individuals seeking advancement or change roles within the industry. The program offers intensive study in journalism, television production, digital marketing, graphic communications, advertising management, film making/directing, photography & videography, web development, social networking sites such as Facebook, Twitter etc.,",A539
Graduate Certificate of Leadership,"The Graduate Certificate of Professional Practice is a program designed to enhance the understanding and development of leadership skills for business leaders who want an opportunity to study postgraduate work while working full-time or part-time jobs. The course emphasizes practical experience in professional practice through integration with theoretical knowledge on technology disruption, customer needs change, and external environments that challenge organizations today. It is delivered online via a premium platform designed specifically for busy professionals seeking relevant skills development without the need to quit their current job responsibilities.",M597
Graduate Diploma of Human Nutrition,"The Graduate Diploma of Human Nutrition is a leading human nutrition course offered by Deakin University that provides students with the skills and knowledge to become effective food experts who can provide advice on healthy eating habits for individuals from diverse backgrounds. The program offers evidence-based learning opportunities through studies in related disciplines such as biochemistry, physiology, epidemiology, psychology, public health, politics, sports nutrition obesity prevention, international nutrition diet and disease, policy analysis of the Australian Government's food policies, research projects with industry partners to secure work placements, study tours for global perspectives on healthy eating habits. The program is conveniently offered online through Deakin Universitys premium platform but students can also engage in practical learning opportunities such as a Nutrition Research Project or an International Study Tour during their coursework and elective units choices.",H616
Master of Professional Accounting,"The Master of Professional Accounting is a program designed for students who want an opportunity to deepen their knowledge and skills within accounting or related fields while also gaining practical experience through internships with real-world companies. The course content includes topics such as auditiing financial statements management systems analytics economics finance law influenced by industry advisory board, up-to-date research from Deakin's IPA Research Centre for small business owners, and a variety of transferrable skills in various industries including IT supply chain marketing arts human resources international trade. The program offers students the opportunity to explore different specializations within accounting or related fields while also broadening their skill set through internships with real-world companies.",M742
Graduate Certificate of Data Analytics,"The Data Analyst program at the University of Technology Sydney is designed for students without prior computing knowledge or those who would like to support their industry experience with a recognised academic qualification. The course covers fundamental data analytics skills and focuses on security issues in modern organisations that rely heavily on data analysis tools such as Excel spreadsheets and SQL databases, which are essential components used by businesses of all sizes worldwide. Students will learn how these technologies can be integrated into the work environment to support decision-making processes while also developing their analytical capabilities through hands-on exercises using real datasets from various industries including healthcare, finance, retail, hospitality, media & entertainment, and more.",S576
Graduate Certificate of Humanitarian Assistance,"The Graduate Certificate of Humanitarian Assistance is a course offered by Deakin that aims to equip individuals with the skills needed for humanitarian aid work and improve systems within it through academic rigor while addressing power imbalances in favorability towards well-meaning aid. The program has dual focus on equipping learners, as well as improving sector practices via specialized functions such as financing or project management. It is one of Deakin's first courses offered globally to address the complex challenges faced by humanitarian assistance work today and create a more positive impact for those in need around the world through their aid efforts.",A567
Graduate Diploma of Applied Sport Science,"The Graduate Diploma of Applied Sports Sciences is a one-year online program designed for busy professionals who want to progress their career while still working full time and complete the course on their own schedule without having to commit to longer degrees or taking additional classes at other institutions. The curriculum focuses on advanced sports science techniques in areas such as performance analysis, strength training, leadership development, culture management, continuous improvement, team success skills, support staff building capabilities, athlete care/performance enhancement through nutrition and hydration programs, injury prevention strategies for athletes of all ages and abilities, the role of technology (e.g.,",H607
Graduate Diploma of Data Science,"The Graduate Diploma Data Science is designed for individuals who want to gain the skills necessary to work with modern data science concepts and techniques such as descriptive analytics, machine learning, statistical analysis of large datasets, predictive modeling using Python or R programming language, SQL database management system. The course covers a wide range of topics including visualization tools like Tableau, Excel, Power BI, SAS/SPSS software for analyzing the dataset in various ways to make predictions and draw conclusions from it which can be used by businesses across different industries such as healthcare, finance or retail etc., making decisions based on data analysis.",S677
Master of Engineering (Professional),"The Master's degree program at Deakin University is designed to develop the research, technical, problem-solving, forward thinking skills and entrepreneurial abilities of engineering students through practical hands on learning experiences with industry partners such as IFM, IISRI and GFEP. The course focuses specifically in areas like Engineering Management which will help them influence business decisions while developing advanced engineering skill sets that set graduates apart from their peers globally.",S751
