course_name,overview,requirements
Master of Public Health,"The Master of Public Health is about protecting and improving health. It prepares you to solve global health issues through evidence-based initiatives. Focus on one of eight career pathways or create your own bespoke pathway to suit your aspirations. Build skills and professional networks that open the door to exciting opportunities and leadership roles in the field.How far can a postgraduate degree in public health take your career? If you want to become a leading voice in public health, this course will give you the tools to make it happen. You’ll have the opportunity to become an expert in a specific area of public health, and the practical skills you learn will empower you to make an impact on an even larger scale. The course is ideal for both clinical and non-clinical health professionals. It’s also a great fit for graduates from other fields who are passionate about improving the health of individuals, communities and populations. The Master of Public Health focuses on evidence-based action that drives positive change across health systems. You will use the latest research to form strategies that tackle global health issues and then bring your ideas to life by creating initiatives for policy change and interventions. Your initiatives could be related to various public health fields, including epidemiology, focussing on disease control and prevention. You will look at issues from a big-picture angle and promote the conditions that optimise population health. Tailor your degree by choosing electives from eight fields of study: public health practice health promotion epidemiology health economics and management applied research public health nutrition humanitarian assistance disability and inclusion. By narrowing in on a field of interest, not only do you get to learn more about what you’re passionate about, the expertise you develop creates a pathway between where you are now and your dream role. Much of what you learn is shaped by Deakin’s world-class health research. You’ll have direct access to the research produced by the Institute for Health Transformation which is led by internationally recognised researchers. This research doesn’t just help you when you’re studying and solving case studies – it’s incredibly valuable knowledge that you’ll carry with you throughout your entire career. The Master of Public Health can be completed on campus or online, a popular choice for students who are working in the health or other industries while studying. Use our premium online learning platform to fit your degree around your life and achieve your career goals on your schedule.","Entry requirements Entry information It will take you 2 years, 1.5 years or 1 year to complete your 2-year masters degree, depending on your previous qualifications and professional experience. 2 year full time (4 years part time) – 16 credit pointsAdmission is based on: Bachelor degree or higher in any discipline, or Evidence of academic capability judged to be equivalent 1.5 years full time (3 years part time) – 12 credit pointsAdmission is based on: Bachelor degree or higher in a related discipline, or Bachelor degree or higher in any discipline, plus two years relevant work experience, or Evidence of academic capability judged to be equivalent Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library. The University aims to provide students with as much credit as possible for approved prior study or informal learning which exceeds the normal entrance requirements for the course and is within the constraints of the course regulations. Students are required to complete a minimum of one-third of the course at Deakin University, or four credit points, whichever is the greater. In the case of certificates, including graduate certificates, a minimum of two credit points within the course must be completed at Deakin."
Graduate Certificate of Information Systems,"Take your understanding of information systems and commerce to the next level with Deakin’s Graduate Certificate of Information Systems. Designed as an introductory course for professionals working in business and government, you’ll gain a strong technical background in specific areas of eBusiness and supply chain management. Whether you’re a graduate of business, management, marketing, social policy or public administration, you can increase your employability with our Graduate Certificate of Information Systems.","Entry requirements Entry information Minimum admission criteria: Bachelor degree or higher OR two years of relevant work experience*, OR evidence of academic capability judged to be equivalent *note: Relevant professional experience that demonstrates comprehensive knowledge of commercial environment, project management or IT.Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Graduate Diploma of Psychological Science,"Follow your passion and explore a rewarding career change by studying the Graduate Diploma of Psychological Science. Designed for students who have completed an undergraduate degree in a discipline other than psychology, the course introduces you to the fundamentals of psychology and human behaviour while fast-tracking your journey to becoming a registered psychologist.Ready for a career in psychology but don’t want to start from scratch with an undergraduate degree? If you are looking to move into psychology, but the idea of committing to a three-year undergraduate degree seems a bit daunting, the Graduate Diploma of Psychological Science is your perfect option. It allows you to reach your goals, faster. You will be studying the accredited psychology major sequence only, which means you can complete the degree in as little as one year (if you study full time in trimesters 1, 2 and 3). Plus, the course can be studied on campus or online, giving you the flexibility to achieve your goals on your schedule. The course may be short in duration, but you will be getting a comprehensive introduction to the human mind and the fundamentals of human behaviour. In your second and third trimester you will be covering more complex topics like child development, psychopathology, neural structure and social behaviour. Course content is industry-led and delivered by passionate teachers who are active contributors to the field – just one of the reasons why postgraduate psychology courses at Deakin rank #1 in Victoria for student satisfaction and have a reputation for teaching quality.* Once you graduate, even more opportunities start to open up. The Graduate Diploma of Psychological Science is accredited by the Australian Psychology Accreditation Council (APAC) – and is the equivalent of a three-year accredited psychology undergraduate degree – so once you graduate you can apply for an APAC-accredited ‘fourth year’ of study that allows you to seek provisional registration with the Psychology Board of Australia. Your options include: Bachelor of Psychological Science (Honours) Graduate Diploma of Psychology (Advanced) Following the completion of a ‘fourth year’ of study, you will then be eligible to apply for the following APAC-accredited courses that lead to general registration as a psychologist: Master of Psychology (Organisational) – the only organisational psychology course in Victoria, offered on campus, full time and part time Master of Psychology (Clinical) Master of Professional Psychology Doctor of Psychology (Clinical). If you are not interested in becoming a registered psychologist, you will graduate from this course with a deep understanding of human behaviour that allows you to solve more complex issues and build better relationships in your current role. The skills you’ll be learning are incredibly valuable across all fields of work and in all walks of life. For those looking to switch careers, your experiences throughout the course will prepare you for new challenges in a variety of areas including community welfare and case management, human resources, public health, mental health rehabilitation and social work. Learn more about psychology pathways and career outcomes","Entry requirements Entry information To be eligible for admission into this new course, applicants will need to have: a recognised Level 7 undergraduate degree qualification (from a discipline other than psychology). Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Master of Business Administration,"Deakin’s internationally recognised Master of Business Administration has been refined over 30 years to meet the professional needs of high-achieving MBA students. Our lecturers are highly experienced and PhD-qualified, including industry adjunct professors who are globally respected leaders in their fields. You'll get the personalised learning support you need, as well as writing workshops, one-on-one mentoring and seminars. On top of being ranked the top 3 in Australia for our online MBA**, this award-winning course is delivered by a AACSB and EQUIS accredited business school placing us in the top 1% of business schools worldwide. The modular nature of Deakin's MBA means you can choose from a huge range of specialisations, electives and MBA masterclasses in order to thoroughly explore your area of interest – you can tailor learning to what's relevant to your career goals, ensuring you graduate with all the right skills to secure the job, client or project you’ve been pursuing. Our industry partners and professors work together to create a curriculum that’s grounded in the everyday reality of business and reflects the contemporary challenges you'll face in the real world. MBA masterclasses, in particular, offer a unique opportunity to upskill in future-focused areas of business. Every masterclass you complete counts as credit towards your degree, and their short duration (three to four days) help you fast-track your studies. Led by true subject matter experts from around the world, MBA masterclasses will give you a rare insight into emerging topics such as blockchain, Agile and digital transformation in a creative, workshop-style learning format. Another reason why high-achieving professionals choose Deakin’s MBA is the constant opportunities for networking, career enhancement and professional development. With a diverse student cohort from a range of different sectors, you'll be exposed to new ideas and thinking that doesn't stop when class does. The Deakin MBA will ignite your imagination, creativity and business mindset. You'll learn at a pace that suits you, with talented peers from around Australia and the world, and you'll graduate with a qualification that's a lifelong benefit to your career.","Entry requirements Entry information Minimum admission criteria: Bachelor degree in any discipline and a minimum of three years relevant work experience *, or Graduate Certificate in a related discipline and a minimum of three years relevant work experience, or Graduate Diploma equivalent (professional pathways) *Definition of minimum work experience: three years relevant work experience and must include at least two years (full-time equivalent) in a managerial or professional role with responsibilities for decision-making in a range of areas including budgetary oversight, staffing and management, involvement in strategy and planning development and operational implementation. All applicants must provide the following with their application: current CV that clearly demonstrates professional / managerial experience current contact details of two referees who can be contacted concerning your work experience a one page brief outlining why you believe that your work experience would be valued by your MBA peers English language proficiency requirements Deakin University offers admission to postgraduate courses through a range of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Master of Business Administration (Healthcare Management),"At Deakin, we recognise that the efficient management and delivery of healthcare will be one of the most pressing challenges facing economies over the coming years. Jointly run and managed by the Deakin Business School and the School of Medicine, Deakin’s MBA (Healthcare Management) gives you the best of both worlds. Prepare to manage and lead healthcare services in Australia and overseas by undertaking the core of our MBA program plus a tailored set of health units. Tailor your MBA studies to issues and challenges associated with the healthcare sector. Learn the very latest in business and management thinking then apply your newfound knowledge to healthcare settings. To excel in a healthcare organisational environment or management role today, you need more than mere business knowledge. A comprehensive understanding of the policy context you work in is vital, along with the skills to formulate and implement strategies that are necessary to operate efficiently and effectively. Develop the specialised knowledge and skills to manage the growing challenges of our nation's health and provision of healthcare. As a graduate you’ll not only have a deep understanding of health policy and funding context, but also the business end of healthcare delivery, such as financing, marketing and economics. This course also offers an advanced combination of business insight and healthcare focus to succeed in this critical area of health service delivery.","Entry requirements Entry information Minimum admission criteria: •Bachelor degree in any discipline and a minimum of three years relevant work experience*, or•Graduate Certificate in a related discipline and three years relevant work experience, or•Graduate Diploma equivalent (professional pathways) *Definition of minimum work experience: three years relevant work experience and must include at least two years (full-time equivalent) in a managerial or professional role with responsibilities for decision-making in a range of areas including budgetary oversight, staffing and management, involvement in strategy and planning development and operational implementation. The following considerations may also be applied:(i) Full-time, minimum 12 months clinical internships taken post-graduation by MBBS/BMBS/MBChB/BDS graduates may be considered equivalent to one year of the required 3 years’ professional work experience.(ii) All recognised^ postgraduate medical and/or dental fellowships may be considered as relevant professional work experience (^recognised by their country’s licensing or regulatory bodies). All applicants must provide the following with their application: current CV that clearly demonstrates professional / managerial experience current contact details of two referees who can be contacted concerning their work experience a one page brief outlining why they believe that their work experience would be valued by their MBA peers Deakin University offers admission to postgraduate courses through a range of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Bachelor of Arts (Psychology),"Study the Bachelor of Arts (Psychology) and gain insight into why people think, feel and behave the way they do. At the same time, you will also open the door to a world of opportunity through your study in the arts.Learn the perfect mix of skills sought by employers by studying one degree, with exposure to two distinct areas of interest. Combining your passions in psychology and the arts can broaden your career options and make you more employable once you graduate.The added benefit of an arts degree at Deakin is the transferable skills you build through experiential learning. Learn to work in teams during industry placements, develop critical analysis through work-integrated learning, and build valuable life skills through international experiences*. Combine this with in-depth study in psychology as a scientific discipline and learn about human behaviour and personality.Why not study psychology your way, with more flexibility and diverse opportunities? You will explore diverse areas of psychology including: behavioural and clinical neuroscience child and adolescent psychology cognitive psychology forensic psychology human social behaviour Our School of Psychology is one of the largest in Victoria. It has strong partnerships with industry, including collaborative activities with government agencies, public and private organisations, hospitals and other universities. These partnerships ensure that your degree remains relevant to industry and workforce needs. You will be in high demand by employers who want graduates that are ready to face problems with confidence. You will get the chance to build real-world experience by electing to undertake the Psychology at Work (Internship) unit in your final year of study. This gives you 140-hours of practical industry placement, strengthening your employment prospects. The Bachelor of Arts (Psychology) is also recognised for registration purposes by the Australian Psychology Accreditation Council (APAC). As a student in the Bachelor of Arts (Psychology), you will also choose an area of study in the arts to build your future-focused degree, choose from disciplines in the humanities, social sciences, communication, languages, and the creative arts. With specialist knowledge in your chosen arts discipline, you will learn how to apply critical, creative and strategic thinking to real-world issues. You will also develop the essential skills in communication, critical thinking and problem solving that employers are looking for. If you are intending to become a psychologist, this course is a pathway to a fourth year level of study (honours or graduate diploma level). After completing a fourth year of study, you will be eligible to apply for provisional registration as a psychologist. Students wishing to become fully registered psychologists can then apply to continue their study by undertaking one of the following: Master of Psychology (Clinical) Master of Psychology (Organisational) Master of Professional Psychology Doctor of Psychology (Clinical). *Overseas study programs to be confirmed in 2023 and beyond, subject to government travel restrictions.",Entry requirements
Graduate Certificate of Creative Arts,"Study the Graduate Certificate of Creative Arts to build on skills developed at the undergraduate level and explore contemporary approaches to creativity. Focus on practical skills that prepare you for career growth while collaborating with creatives from diverse disciplines.Want the skills to unlock new opportunities in your creative industry? The Graduate Certificate of Creative Arts allows you to hone your creative practice alongside students from our six creative arts disciplines: visual arts, photography, animation and motion capture, visual communication design, dance and drama. By collaborating with artists from different fields, you’ll broaden your understanding of creativity while developing transferable skills that employers value, such as imaginative thinking, problem solving and leadership. On top of your core unit of study, you’ll strengthen your creative repertoire with three elective units. Your electives can play to your strengths, or help you upskill in an unfamiliar discipline. Some of your elective options include: Writing with the Camera Documentary Production Practice Arts Marketing Introduction to Digital Photography Design Thinking and Problem Solving. Electives units provide lots of practical experience, including industry-relevant creative projects that challenge you to apply theoretical frameworks in teams and as an individual. You can also get hands-on in our professional standard facilities, including TV broadcast studios, dance and drama studios, a professional photographic light studio, visual arts and design studios and dedicated gallery spaces. While there are many exciting career pathways for graduates, there are also opportunities for further study upon successful completion of the course. If you want to continue building your creative expertise, you can articulate into Deakin’s Master of Creative Arts","Entry requirements Entry information Entry will be based on performance in: a Bachelor degree in any discipline OR at least two years of relevant work experience (or part-time equivalent) Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements.Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course.For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Graduate Diploma of Business Administration,"Enhance your undergraduate degree with versatile business expertise. Deakin’s Graduate Diploma of Business Administration is designed to provide you with a global business perspective, broadening your career options and paving the way to take on our Master of Business Administration (MBA) – ranked in the top 15 online MBAs globally. This one-year course covers a broad range of topics relating to organisational management, as well as the development of the creative, analytical and interpersonal capabilities crucial to business leadership, including people management and marketing. The course will prepare you for management roles across a range of sectors. The business skills gained in this qualification can also lead to progression in your current career. The Graduate Diploma of Business Administration allows articulation into the Master of Business Administration (MBA).","Entry requirements Entry information Minimum admission criteria: Bachelor degree in any discipline and a minimum of three years relevant work experience*, or Graduate Certificate in a related discipline and three years relevant work experience* *Definition of minimum work experience: three years relevant work experience and must include at least two years (full-time equivalent) in a managerial or professional role with responsibilities for decision-making in a range of areas including budgetary oversight, staffing and management, involvement in strategy and planning development and operational implementation All applicants must provide the following with their application: current CV that clearly demonstrates professional / managerial experience current contact details of two referees who can be contacted concerning your work experience a one page brief outlining why you believe that your work experience would be valued by your MBA peers Deakin University offers admission to postgraduate courses through a range of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Master of Financial Planning,"Designed to meet the education requirements of Australia’s new financial planning standards body, the Master of Financial Planning will provide you with innovative and applied financial planning education solutions by combining ethical decision-making with modern financial advice strategies.Ready to secure your future and build a successful career with a degree that meets new requirements in a rapidly evolving industry? Recent changes to the Australian finance services industry require financial planners to meet new education standards set by the Financial Adviser Standards (FAS). What does this mean for current and aspiring financial planners? If you want to provide financial advice beyond 2026, you'll need to complete a FAS-approved course like Deakin's Master of Financial Planning. More than just a pathway towards becoming a registered financial planner, this course will enable you to take your financial planning skills and knowledge to new heights. As a graduate, you'll be empowered to provide better solutions for your clients and enhance your employability skills and career opportunities. Apply, analyse and relate financial planning principles throughout projects and case studies that simulate real industry scenarios, better preparing you for tomorrow’s financial planning challenges.You’ll be introduced to a range of discipline areas including investments and portfolio theory, superannuation and retirement planning, insurance, estate planning. ethics, financial advice regulation and behavioural finance. Learn how to apply advanced principles to meet client needs and the technical skills required to utilise the latest digital tools. Importantly, the course also places a strong emphasis on the professional responsibilities of the modern financial planner, both in an ethical and compliance sense. Industry reforms have created an increased demand for ethical decision-makers, putting Deakin graduates in a strong position to stand out from the pack. Better still, you’ll be learning alongside industry-active academics who are leaders in the field. Build relationships with your teachers. Get constructive feedback on industry expectations. Take your career forward.","Entry requirements Entry information Admission is based on: • Bachelor degree or higher in a related discipline*, or• Bachelor degree or higher in any discipline, plus two years relevant work experience^, or• Evidence of academic capability judged to be equivalent.*A ‘related discipline' is a Business discipline. ^ Relevant work experience is determined as business experience in either a financial planning role or a managerial position, with business oversight responsibilities in a financial planning related field such as superannuation consulting, estate planning, tax advisory, financial consulting, funds management, banking. Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Master of Information Technology (Professional),"The Master of Information Technology (Professional) is designed to extend the specialised information technology skills obtained in the Master of Information Technology by providing students with the opportunity to undertake a period of industry-based learning or a research project under the supervision of our internationally-recognised research staff.You will develop expert knowledge of the technical aspects of information technology as well as in-depth skills in your chosen area of specialisation.This course has a strong IT industry focus and empowers students to apply the acquired knowledge and skills towards professional practice and enables them to create innovative IT solutions to solve real-world problems. Students will develop teamwork and leadership skills through close mentorship during industry projects and engagement in researching cutting edge IT solutions.Want to gain in demand IT skills and advance you career across any industry? Throughout the course, students will develop a broad understanding of the IT discipline including its dynamic environment, expert knowledge of the technological aspects of IT, and in-depth skills in their chosen area of specialisation. Through the Master of Information Technology (Professional), you can choose to undertake an industry placement or internship as part of your degree. Industry placements provide you with an opportunity to develop the practical and job-ready skills employers are looking for and enable you to build professional networks before graduating.","Entry requirements Entry information Bachelor Degree in a related discipline, OR Bachelor Degree in any discipline AND two years relevant work experience, OR Graduate Certificate of Information Technology or equivalent, OR evidence of academic capability judged to be equivalent. Deakin University offers admission to postgraduate courses through a number of Admission categories. To be eligible for admission to this program, applicants must meet the course requirements. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Master of Arts (Writing and Literature),"Hone your expertise in writing and literature and gain practical tools in critical analysis, editing and research. Whether you want to develop the skills to analyse literary works, build your creative writing practice, or craft publishable pieces of professional writing, the Master of Arts (Writing and Literature) will help fulfil your career aspirations.Want to see where a mastery of the written word can take your career? If you want to turn your lifelong passion for writing and literature into a professional career, this course gives you the practical experience to make your goals a reality. Equally, if you’re already working in the industry and looking to take the next step – whether that be in a new role or finally breaking through as a published author – we provide a high performing environment that allows your creativity to reach its full potential. Ultimately, the Master of Arts (Writing and Literature) aims to inspire you, so you can inspire audiences of your own. Choose from four study specialisations to create a unique degree that matches your interests: Children’s literature Creative writing Literary studies Professional writing Our specialisations cater for many writing and literature professionals – from marketing professionals looking to boost sales through carefully crafted copy, to aspiring authors hoping to turn their book idea into a reality, and teachers wanting to add a new level of depth and rigour to their classroom. Alternatively, you may wish to study cross-disciplinary units that provide a broader spread of learning topics. With this option, you’ll gain a deep understanding of the conventions of professional non-fiction writing, as well as the theory and craft stemming from traditional literature, all in the one degree. Importantly, the course provides more than just writing expertise. The projects and assessment tasks you work on train you in transferable skills, including critical analysis, communication, problem solving and research – incredibly valuable in every field of work. You’ll also debate literature, creativity and modern writing challenges with like-minded people from different corners of business and life. This exposure to new ways of thinking helps you grow as a writer and shows you how literature can be used to make sense of different aspects of culture, place and history. For many students, a desired outcome of the course is to produce a published piece of work. Our academic staff are published authors and leading international scholars, so they know the process inside out, from first draft all the way to hitting the shelves. Draw upon their experience and utilise their extensive network of writers, editors and publishers to get a foot in the door. Your thesis project, a highlight of the course, pairs you with one of our brilliant teachers. Your thesis might provide commentary on a classic piece of literature, or it could be an original piece of work. We’ll find you the ideal mentor based on your goals, interests and the writing you’re working on. The course provides lots of exposure to industry work, trends and opportunities, better preparing you for the current and future needs of the field. Many students take advantage of our industry partnerships to secure internships at well-known publications. Verandah Journal, an annual student-run publication, showcases the best work of emerging writers and artists while giving students the chance to develop expertise in selecting, editing and proofreading submissions for publication. Better still, our academics are actively involved with a number of prominent writing festivals, ensuring we’ve got our finger on the pulse of emerging writing trends and industry needs.","Entry requirements Entry information Admission to study postgraduate coursework at Deakin is based on recognition of your professional experience and previous qualifications. Depending on your professional experience and previous qualifications, your course may be: 1 year full time (2 years part time) – 8 credits Admissions is based on: Bachelor’s Honours (AQF8) degree in a related discipline Bachelor’s degree in a related discipline, plus two years relevant work experience Graduate Diploma in the related discipline Evidence of academic capability judged to be equivalent. 1.5 years full time (3 years part time) – 12 credits Admissions is based on: Bachelor’s degree in a related discipline Bachelor’s degree in any discipline, plus two years relevant work experience Evidence of academic capability judged to be equivalent. 2 years full time (4 years part time) – 16 credits Admissions is based on: Bachelor’s degree or other qualification at a higher AQF level in any discipline Evidence of academic capability judged to be equivalent. Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements.Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course.For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Bachelor of Commerce/Bachelor of Science,"Deakin's Bachelor of Commerce/Bachelor of Science empowers you to take your science career beyond the lab. Pair specialist science knowledge with a strong foundation in commerce and graduate ready to lead, innovate and disrupt in your chosen field.Dual skills in science and commerce can set you up for a lucrative career. Through this industry-led combined course, you can follow your curiosity into any field that inspires you and forge your own path by choosing from a wide range of major sequences. Whether you're aspiring to a role in science communication or management or want to complement your commercial acumen with evidence-based decision-making skills, this combined course arms you with a unique skill set that makes you stand out from the pack. Better still, a focus on real-world learning prepares you for the workforce and ensures you’re ready to hit the ground running when you graduate.Combined skills in science and business can set you up for a lucrative career. Are you ready to take control of your future with a sought-after set of skills? Traditional yet contemporary, the commerce stream offers students the opportunity to develop personal skills, hone adaptability, curiosity, imagination, innovation, entrepreneurial thinking and professional confidence. It also gives you the freedom to pursue your passions in a range of specialised areas of business, from accounting to marketing.You'll graduate with key skills built around three pillars grounded in the everyday realities of business and sought after by employers: financial acumen market knowledge management smarts Led by a team of academics who are experts in their field, our science stream trains you to be a scientific explorer, ready to solve tomorrow's global issues through science and discovery. You'll build your foundational knowledge by studying a range of science-related study areas before focusing on one of 7 majors: animal biology cell biology and genomics chemistry environmental science human biology mathematical modelling plant biology. Our broad spectrum of science specialisations allows you to tailor your degree to your unique career aspirations. Follow a lifelong passion and get more out of your degree by focusing on the topics that matter to you. Best of all, learning extends beyond the classroom. You'll gain practical experience through programs in modern science laboratories, the completion of a Community Science Project, undertaking industry-based learning placements and by getting a taste of the international business world with overseas internship programs.",Entry requirements
Bachelor of Communication,"In a complex and changing world, effective communication is one of the most powerful tools to connect with people, pursue truth and inspire change. When you study a Bachelor of Communication at Deakin, you’ll learn how to craft content that resonates with your audience across print, digital, audio and video platforms. Whether you’re breaking a critical news story, writing a press release, creating a national campaign or running a high-profile event, you’ll create persuasive messages that move people to action.You’ll develop specialised industry skills, with the option to major in the following areas:- advertising- digital and social media- journalism- public relations.Along with your major, you’ll personalise your degree with minors in complementary study areas, like integrated communication, creative advertising, photojournalism, Indigenous studies and more.Want to turn your passion for words into a meaningful career? Learn how the principles of ethical communication and technology apply in the modern media landscape and develop the critical thinking and practical production skills to target key audiences effectively. Harness your passion for creativity, communication and visual language to shape public opinion and thrive across a wide range of roles in the rapidly evolving media and communications sector. How we communicate has the unique power to connect, teach and inspire change. When you study a Bachelor of Communications at Deakin you’ll master your craft, utilising creative practice and technology to shift public perception and make an impact on the world around you. You’ll explore and utilise different communication mediums, developing specialist skills on your journey to becoming a well-rounded and in-demand communications professional. As technology and new trends transform culture, organisations and the media landscape, you’ll be encouraged to explore new mediums and utilise the latest technology to create high-impact content. You'll learn what the modern media industry looks like, executing digital strategies with the latest communication technologies. Some of the key areas you’ll explore: implementing social and digital media content strategies how to engage audiences with podcasts and videos strategic communication planning for advertising, digital and public relations campaigns copywriting and ideation creating inspiring campaigns or events and managing reputations Our accomplished industry practitioners will inspire and support you on your journey towards building a sustainable creative career doing what you love. You’ll spend your days learning in speciality spaces – from our industry-standard newsroom to the studio – shining a light on stories that matter. The combination of practical assessments, industry events and internship opportunities mean you’ll graduate with a portfolio of work and a strong network ready to thrive in your future career. Develop the leadership skills and entrepreneurial mindset to manage projects and drive engagement with audiences. Our flexible approach allows you to personalise your learning to your interests and future career and study in a way that suits you. Feel encouraged to fit your learning in with your busy life, whether you want to slow down or speed up your studies, study on-campus or online. Study a Bachelor of Communication and work towards a future career that challenges and excites you.",Entry requirements
Bachelor of Property and Real Estate/Bachelor of Commerce,"Study the Bachelor of Property and Real Estate/Bachelor of Commerce and become an in-demand professional. In just four years you’ll graduate with professionally recognised qualifications in both real estate and commerce, a combination sought after by employers. Gain industry experience through practical learning opportunities where you’ll be exposed to professional practise. Build relationships with industry partners, take on coveted internships and learn from global leaders through overseas study experiences. The commerce component of this dual degree is designed to help you find a professional fit and passion for a discipline. The property and real estate degree offers the most current approaches, ideas and research so you graduate ready to capitalise on Australia’s largest industry.Want to be a property expert with world-class business skills? This double degree is one of the industry’s most highly regarded programs, putting graduates a step ahead when starting careers in property, real estate and commerce. The property and real estate component of the degree covers: property economics property investment property law and practice sustainable construction statutory valuation. Your property and real estate studies can be complemented by commerce studies in: accounting economics finance financial planning human resource management management management information systems marketing. Your studies in property and real estate will have a practical focus to ensure that you are work-ready upon graduation. Your lecturers and professors are active in the industry and bring extensive professional networks into the classroom.",Entry requirements
Master of Health and Human Services Management,"Build the leadership, managerial and analytical skills to influence positive change in healthcare with the Master of Health and Human Services Management. Open the door to senior roles within the health sector and use your platform to improve healthcare delivery and contribute to healthier communities.Want the skills to lead from the front in the growing health and human services sector? Healthcare managers are collectively responsible for managing the many billions of taxpayer dollars that fund this area. That is a significant responsibility, but it’s also an incredible opportunity to make positive changes that benefit individuals, communities and countries. With a Master of Health and Human Services Management, you’ll have a significant role to play not just in the allocation of precious resources, but also in the way healthcare organisations operate, evolve and deliver health services into the future. The course is about more than just applying business and management skills in a health context. It explores what best practice looks like in the complex world of health services management. Everything you learn – and the way you learn – prepares you to navigate the exact challenges faced by health and human services professionals today. Develop core skills that allow you to make evidence-based decisions that improve the quality of health services, including: leadership and strategic planning health needs assessment and evaluation healthcare planning and monitoring resource and project management communication and negotiation. You will have the opportunity to select from a broad range of elective units across five specialisation areas: public health, health economics, business administration, disability and inclusion and research. Electives allow you to build an impressive set of specialised skills curated to your unique interests and career goals. Whether you see yourself managing a clinic or hospital, leading projects promoting mental health, or shaping policy at a government level, you will graduate with the skills to manage every challenge your role throws at you. For those who like to learn by doing, the course’s many practical learning opportunities are a highlight. In particular, the new work-integrated learning elective allows you to undertake 150 hours of valuable industry experience. This can be an agency-based work placement with one of our many industry partners, or agency-sponsored work based at the Deakin Freelancing Hub. These projects convert the theoretical knowledge you gain through coursework into lived experience, which in turn boosts your work readiness and employability. They also allow you to work alongside influential figures in the health services sector and build professional networks that unlock new career pathways. On top of that, you can gain a global perspective of leading management practices by joining an overseas study tour, and get even more industry experience with an internship at a prominent NGO, such as the United Nations.","Entry requirements Entry information Entry will be based on performance in: a Bachelor degree or higher in any discipline OR evidence of academic capability judged to be equivalent Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
