course_name,o_summarized,overview
Bachelor of Construction Management (Honours),"The Bachelor of Construction Management (Honours) program at Deakin University offers a comprehensive education for individuals interested in the field of construction management and property development with an emphasis on practical learning experiences through industry placements or internships to gain real-world experience. The course covers areas such as building economics/law, practice, technology measurement & estimating project management quantity surveying techniques along with other relevant topics like site visits, international study tours etc., all of which are essential for a successful career in the construction field.","Develop an in-depth understanding of the business of construction, from economics and law to technology. Deakin’s Bachelor of Construction Management (Honours) equips you with market-ready skills for construction management, quantity surveying and property development. Work confidently across projects large and small, with a strong focus on practical learning, you will develop the initiative and ability to hit the ground running.Undertaking industry placements will help you kickstart your professional experience while building professional networks, technical knowledge and skills. Collaborate with Deakin’s architecture students to gain a sound understanding across both disciplines. This experience prepares you for the real world and ensures you graduate with the well-rounded and adaptable skillset employers are looking for. Dreaming of running diverse building projects with a professionally recognised qualification? This degree is professionally accredited by the Australian Institute of Building (AIB), Australian Institute of Quantity Surveyors (AIQS), Chartered Institute of Building (CIOB) and Royal Institution of Chartered Surveyors (RICS). That means your qualification is recognised for practice in over 50 countries, providing a global passport for work in this field in Australia and overseas. You will learn to apply construction management strategies and best practices to new and existing buildings. Your education covers areas including: building economics and law building practice building technology measurement and estimating project management quantity surveying. Learning from academic staff who understand the industry means your classroom is a hub of the latest ideas, techniques and approaches to construction management – which you can then test out in our purpose-built studio and workshop. You will also benefit from our teaching staff’s professional networks, which means you can start building your own connections long before graduation. We take graduate employability seriously, so you will be workplace-ready through opportunities for placements, site visits, international study tours, exchange and guidance from Deakin’s leading careers service, DeakinTALENT. There is also an accelerated learning option available for this course, so you can join the workforce in just three years of full-time study, if you undertake selected units in Trimester 3."
Bachelor of Forensic Science,"The Bachelor of Forensic Sciences at Deakin University is a comprehensive degree that exposes students to modern forensic science techniques and practical training through simulated crime scenes and authentic environments like purpose-built facilities for evidence collection and examination analysis laboratory testing interpretation communication with investigators presenting in court. The course has industry links and guest speakers from leaders in the field, allowing graduates access into real world forensic situations as well as networking opportunities within professional organizations such as ANZFSS to enhance their career prospects globally.","Deakin’s Bachelor of Forensic Science exposes you to the full scope of modern forensic science, from simulated crime scenes to courtroom presentations. With a strong focus on practical training, you’ll graduate with the skills needed to confidently examine, interpret and present forensic evidence. You’ll enhance your courtroom skills by building knowledge of the science behind criminal investigations and gain practical experience in our unique crime scene training facility.Forensic science at Deakin is a comprehensive and flexible degree. You’ll cover a wide range of disciplines including illicit drugs analysis, DNA analysis and more. You can customise your degree to your interests by selecting to specialise in forensic biology or forensic chemistry. You’ll then learn how to apply modern forensic analysis in authentic environments like Deakin’s purpose-built training facilities.Want to study the only professionally accredited forensic science degree in Australia? Alongside extensive practical training, you’ll explore a range of disciplines throughout your course, including: toxicology analysis of illicit drugs DNA analysis bloodstain pattern analysis entomology decomposition Taking your technical skills into the field, you will experience crime scene examination and evidence collection to laboratory analysis, interpretation of results and communication of your findings to investigators, including presenting evidence in a moot court. Complement your technical knowledge and be better prepared to present in court by developing a strong understanding of the Australian legal system, including how law is developed, criminal and civil law, and the laws of evidence. This course has extensive industry links with local and Australian forensic organisations, and features guest speakers from leaders in the field. Industry connections are leveraged to put you right in the middle of real-world forensic science environments. The Bachelor of Forensic Science is professionally accredited by the Chartered Society of Forensic Sciences. Deakin is the first university in the Asia-Pacific region and the only university in Australia to offer professionally accredited forensic sciences courses, meaning, you can potentially work anywhere in the world. Enhance your networking opportunities further by applying for membership of the Australian and New Zealand Forensic Science Society (ANZFSS)."
"Bachelor of Politics, Philosophy and Economics","The course is designed for students who want to gain a deeper understanding of power dynamics within organizations by examining the relationship between ethics, sustainability, economics, and politics through real-world examples from various industries such as government policy making or business management consulting in Australia.","Are you interested in finding out how power and ethics influence real-world decisions? Study Deakin’s Bachelor of Politics, Philosophy and Economics and learn how power, ethics, sustainability and economics converge to shape our lives. Built by leading academics and researchers, this course is designed for deep and creative thinkers looking to make an impact on society.Enhance your career prospects via exciting real-world experiences, including internships, volunteer placements and study tours. Plus, there’s the opportunity to collaborate on team-based industry and community projects, and to take part in our global experiential learning programs.You’ll understand the nature of public decision-making, explore resource management issues, and get the skills to analyse business problems in line with social justice. This course balances the big picture view of public problems while developing your professional and work skills.Do you want to examine society as it is and question how it could be? As a student of politics, philosophy and economics, you’ll focus on three distinct yet complementary disciplines to understand how societies govern and determine values. Politics Develop written and online communication skills. Explore systems and different forms of government. Examine relationships between countries and cultures. Articulate solutions for real-world political problems. Philosophy Develop critical thinking and logical rigor skills. Learn how to question assumptions. Explore ethics, justice and moral challenges. Economics Learn how business, government and consumers shape society. and ask questions about issues from inequality to environmental sustainability. You’ll graduate job-ready with the knowledge, expertise and practical skills to succeed in a range of roles in government policy, strategy, consulting or business management. This course is offered both on campus and online in a fully supported and flexible study environment, so you can get ahead with your career journey while also maintaining work, study and personal commitments."
Graduate Certificate of Agricultural Health and Medicine,"The Graduate Certificate of Agricultural Health and Medicine is designed for individuals who want an insight into the physical health issues faced by rural Australians due to their work on farms or other agricultural industries. The course aims at understanding factors that contribute towards higher rates of morbidity in these areas as well as developing successful healthcare policies aimed at improving safety intervention programs within agriculture communities across Australia, ultimately leading to a significant impact for Australian farmers and the nation's food security goals.","Improve the social, physical and mental health of agricultural communities across Australia with our Graduate Certificate of Agricultural Health and Medicine. This course aims to allow students an insight into the physical and mental health issues encountered by people within the agricultural industry. You will explore what influences higher rates of morbidity and mortality in rural and remote Australia, and what influences successful health policies and safety intervention programs. By understanding these issues, along with learning the impact of poor health on agribusiness, agricultural production and sustainability, you will be placed to make a significant difference in Australia’s agricultural communities."
Graduate Certificate of Property,"The Deakin's graduate certificate course on ""Property Valuation"" is designed for professionals looking to broaden their careers and gain a broad understanding of property valuation techniques used by real estate agents, valuers or appraisers who work with clients in the residential housing market.","Get the qualifications you need to start a new career in the property industry with Deakin’s Graduate Certificate of Property. Gain a broad understanding of property and property valuation, valuing income producing properties, managing real estate and property development. As a graduate you’ll be well-prepared for a range of roles in this dynamic and fast-paced industry, including property development and property management. The course has been specifically developed for professionals, such as architects, surveyors and construction managers, looking to broaden their careers. It’s also ideal for graduates with degrees in commerce, management or law disciplines wanting to move into the property industry. Develop and refine your core professional skills, particularly related to the fields of property development and property management. You’ll establish an understanding of the various stakeholders in the property and real estate market and learn to develop and manage property. This qualification will also allow you to articulate into the Graduate Diploma of Property."
Graduate Diploma of Finance,"The Deakin Graduate Diploma of Financial Services is an internationally recognized qualification that provides students with a broad understanding and versatile skill set to work effectively across various financial domains such as banking, finance management consultancy or investment advisory services. The coursework component focuses on enhancing professional practice in these areas while the research element allows for further development through independent study projects leading towards certification of advanced knowledge levels. Additionally, articulating into an MBA program may provide opportunities for career advancement and a higher salary potential upon completion compared to other qualifications such as undergraduate degrees or specialist certifications.","Get a specialist qualification in finance with Deakin’s Graduate Diploma of Finance. You’ll graduate with a broad understanding of international finance and a versatile skill set that can take you around the world. The coursework and research components of this course have been designed to enhance professional practice in a range of financial domains, which may be of particular interest to you if you’re currently working as a finance professional. If you have a non-business undergraduate degree, or you’re keen to acquire a professional qualification in finance, this course will also be suitable for you. As a graduate, you may also choose to articulate into the Master of Finance."
Master of Advanced Clinical Nursing,"The Master's degree program at Deakin University is a customisable and evidence-based nursing specialty that offers advanced clinical practice opportunities to enhance patient care outcomes while advancing professional judgement through ethical decision making within complex healthcare settings such as perioperative or critical care. The coursework stream allows for customization of the curriculum based on career aspirations, with both thesis streams available in addition to graduate diplomas/certificates and non-specialized postgraduate qualifications that can be pursued directly into senior positions without requiring a clinical specialty area specialisation.","Take your nursing career to the next level by specialising in an area of advanced clinical nursing practice. Our Master of Advanced Clinical Nursing is a customisable specialist degree that will enhance your clinical decision-making skills to bolster health service delivery and improve patient outcomes.Ranked 20th in the world,* our School of Nursing and Midwifery is one of Australia’s largest and most established. You will learn from the best with the school’s cutting-edge research recognised as well above world standard.^ Are you looking for a flexible clinical nursing degree where you can choose your specialisation and take a step forward in your nursing career? You will enter this course with support from your health service to specialise in your chosen area of practice. This flexible degree enables you to pursue your chosen career pathway; whether you want to support patients through their surgical journey as a perioperative nurse or play a leading role advancing the care of the critically ill as an intensive care nurse. You can select from seven areas of advanced clinical nursing, which will be your focus for the first year of your course: cardiac (including interventional cardiology) critical care emergency intensive care intraoperative perianaesthesia perioperative. No matter your specialty area, you will further your essential skills in navigating patient care, communicating with patient’s families and working efficiently in a multidisciplinary care team. As an experienced registered nurse you will be challenged to advance your professional judgement, leadership and professionalism within modern healthcare practice. You will explore and analyse ethical, transcultural and psychosocial concepts in the context of complicated grief, critical incident stresses and brain death.Our course curriculum is shaped by industry insights and research from Deakin’s Centre for Quality and Patient Safety Research (QPS). QPS is a leader in clinical research, quality and risk management, and has researchers within six of Victoria’s major health services. This means the course material is evidence-based, patient-focused and informed by academics, researchers and clinical experts who are leaders in their fields. You will be in control of your learning, and have the opportunity to complement your specialty area with either a thesis stream or coursework stream.The coursework stream allows you to customise your degree to match your career aspirations. You can choose from a mix of course and postgraduate electives from across the university. The thesis stream sets you up to pursue a research pathway upon graduation, with four dedicated thesis units and two electives. Supported by a research supervision team and our expert staff you will create an individual research thesis in an area of specialty nursing practice. Want to further your career in a shorter time? We offer graduate diplomas and graduate certificates for all specialty areas. If you wish to pursue a shorter qualification please enrol in them directly. Alternatively, if you are seeking a non-specialised postgraduate nursing qualification to advance into a senior position, our Master of Advanced Nursing prepares you to step up into nursing leadership, management or education without the need to specialise in a clinical specialty area. It is also a highly customisable course with a range of electives and the option of a thesis or coursework stream. *2022 ShanghaiRankings Ranking of Academic Subjects.^Excellence in Research Australia (ERA) 2018."
Bachelor of Exercise and Sport Science,The Bachelor of Exercise & Sports Sciences program at Deakin University is a highly-ranked course that offers an accredited pathway for students to become eligible members and exercise scientists with the Australian Sport Science Association (ASS).,"Join the #1 sport science school in the world* by studying Deakin's Bachelor of Exercise and Sport Science. The course provides an accredited pathway for you to be eligible to join Exercise and Sports Science Australia (ESSA) and practise as an Accredited Exercise Scientist. You'll learn how to apply knowledge and skills in exercise and sport science to improve the performance, health and participation of individuals, athletes and teams. Develop the skills to become a professional leader in exercise and sport science and allied fields, with a focus on the biological, sociological and behavioural bases of exercise and sport science. Learn in world-class facilities at our Elite Sports Precinct in Geelong and Specialised Indoor Exercise and Sport Science building in Burwood. The course includes 220 hours of practical experience – more than any comparable accredited program in Victoria – meaning you'll graduate job-ready with an advantage.Why not fulfil your potential in the world of exercise and sports science and graduate with a practical degree that lets you hit the ground running in the industry? Our world-class facilities allow you to learn in elite environments. The Geelong Waurn Ponds Campus’ Elite Sports Precinct supports the activities of a wide range of athletes, from the Geelong Cats AFL team, to the student-based Deakin Ducks Soccer Club. This opens the door to outstanding placement opportunities for students. Our new specialised indoor exercise and sport science building at the Melbourne Burwood Campus features four levels of state-of-the-art sport science learning facilities, providing you with a broad range of hands-on learning experiences. Deakin’s Bachelor of Exercise and Sports Science is the first and longest-standing undergraduate course in Victoria. Develop the expertise to become a professional leader in exercise and sport science, studying the biology, technology, behaviour and best practices that underpin exercise and sport science. Tailor the course to your interests and career goals, choosing from the following majors: applied sport science disability and inclusion exercise physiology family, society and health health promotion nutrition physical activity and health psychology sport coaching sports nutrition strength and conditioning. You will have the opportunity to participate in work experience placements in a variety of environments such as: AFL/VFL football clubs Football Federation Victoria Tennis Australia WNBL clubs Cricket Victoria private strength and conditioning and high-performance centres (including Institutes of Sport) recreational gyms rehabilitation clinics. All students participate in two industry-based practical experiences. In second year, students complete 80 hours of practical experience at a pre-approved host organisation through the Exercise Programming unit. The Exercise and Sports Science Practicum in final year provides a minimum 140 hours of practical experiences. These are a core feature of the course which, combined with career mentoring by staff in particular units, set you apart from other graduates. career mentoring by staff in particular units, set you apart from other graduates. *Shanghai Ranking's Global Ranking of Sport Science Schools and Departments 2021"
Graduate Diploma of Health and Human Services Management,"The Graduate Diploma of Healthcare Administration is a program that focuses on developing leadership skills for healthcare professionals and preparing them to make positive changes within their organizations through better resource allocation decisions based upon evidence-based practices. The course includes core units in business administration as well as elective courses covering topics such as human resources management, operations research methods used by health services managers, priority setting processes that improve the quality of care delivered, healthcare information systems and data analysis techniques to support decision making for better patient outcomes. Upon successful completion of this program, graduates have access to continuing education opportunities in Master's programs focused on Health Administration with already completed half credit points from these courses upon completing their Graduate Diploma degree.","Gain the leadership, analytical and managerial skills needed to influence positive change in healthcare systems with the Graduate Diploma of Health and Human Services Management. Set yourself up for senior roles in the health sector and use your platform to improve healthcare delivery and contribute to healthier communities.Want to help effect positive change in healthcare and really make a difference? Healthcare professionals are responsible for oversight of billions of taxpayer dollars that fund the sector. That is a significant responsibility, but it’s also an incredible opportunity to make positive changes that benefit individuals, communities and countries. With a Graduate Diploma of Health and Human Services Management, you’ll have a significant role to play not just in the allocation of precious resources, but also in the way healthcare organisations operate, evolve and deliver health services into the future. The course is about more than just applying business and management skills in a health context. It explores what best practice looks like in the complex world of health services management. Everything you learn – and the way you learn – prepares you to navigate the exact challenges faced by health and human services professionals today. During your Graduate Diploma of Health and Human Services Management you’ll complete eight credit points of study comprising 3 core units and 5 elective units. You will have the opportunity to select from a range of elective units on topics like resource allocation and priority setting, healthcare operations, human resource management and more. You’ll develop core skills that allow you to make evidence-based decisions that improve the quality of health services. Upon successful completion of the Graduate Diploma of Health and Human Services Management you will have the option of enhancing your skills by continuing on to the Master of Health and Human Services Management and will have already completed half of the credit points from the masters course."
Master of Child Play Therapy,"The Master of Child Play Therapy is an internationally recognised degree that provides students with practical experience working directly on children's play therapy through 250 hours clinical placement and elective research units to develop their critical analysis skills at a leading Australian university offering the only course like it in Australia. The curriculum focuses on developing reflective interpersonal creative expressive, as well as humanistic-play therapeutic assessment techniques while providing an opportunity for students interested in continuing studies further into academic settings such as researching play therapy through practical and elective research units to hone their critical analysis skills from leading Australian Play Therapy organisations including the International Consortium of Play Therapy Association.","The Master of Child Play Therapy trains you to support children’s psychosocial, emotional and mental health and wellbeing through the therapeutic powers of play. Graduate from this internationally recognised course ready to apply for registration as a play therapist and join a rewarding profession that is growing in demand.Want the skills to make a profound impact on the long-term health, wellbeing and happiness of children? Even adults with years of life experience can find it hard to work through difficult feelings and experiences. It can be more difficult for children. Play therapy is increasingly being used as a way of helping children overcome challenges in their life and make sense of their experiences. The beauty of play therapy is its developmental sensitivity. It allows children to express themselves through a comforting and familiar medium – play! Just as adults may need to talk about difficulties with a counsellor or psychologist, children can benefit greatly from playing about their experiences. Through play, and within the safety of a therapeutic relationship, children can process difficult life experiences including trauma, abuse, neglect, illness, grief and loss, and a range of social, emotional, behavioural and mental health difficulties. Play therapy is an evidenced-based approach for working with children based on the premise that play is a child’s first language, and that play is therapeutic. If you already love working with children and want to play a pivotal role in their psychosocial and emotional development, a career in play therapy will be incredibly rewarding. The Master of Child Play Therapy will give you everything you need to get there. It is an internationally recognised degree, accredited by the Australasia Pacific Play Therapy Association (APPTA), and the only course of its kind offered by an Australian university. It is also a recognised pathway to becoming a Registered Play Therapist. Upon graduation, you will have the practical experience and professional recognition needed to apply for registration. The course explores evidence-based principles in play therapy, and the study areas you will cover reflect the needs of the industry today and into the future. Some of the key areas include: History and foundations of play therapy Childhood development Neuroscience and psychopathology in children Attachment and trauma Therapeutic assessment Therapeutic medical play Therapeutic use of self Engaging children in therapeutic play Humanistic Play Therapy Filial Play Therapy A strong focus of the curriculum is developing your reflective, interpersonal, creative and expressive skills. These are crucial skills that allow you to work effectively with both children and their families. While the course is conveniently delivered on our premium online learning platform, allowing you to study at your own pace, there are many opportunities to apply your skills through practical learning in your own community. For example, you will get to experience what it’s really like to work as a play therapist through 250 hours of clinical placement. You can secure placements in a variety of settings such as preschools, childcare centres, primary schools, allied health services, disability services and private practice. For students interested in continuing their studies at a research level, the course offers elective research units that develop your practical research skills and hone your critical analysis. A highlight of the course is being able to learn from academic staff who are not just involved in the field but leading the way through the work and research they contribute. We have staff involved with key Australian and International Play Therapy organisations such as the International Play Therapy Study Group (IPTSG) and the International Consortium of Play Therapy Associations and their insights, case studies and experiences are filtered into the course."
Graduate Certificate of Cultural Heritage and Museum Studies,The Graduate Certificate of Cultural Heritage and Museum Studies is a course designed to provide students with the skills needed for careers working within cultural heritage institutions such as galleries or museums.,"Gain the fundamental skills and knowledge needed to kick-start your career working in the cultural heritage and museum sector. You’ll become familiar with current theory and practice and be ready for further study.Do you have a passion for the past and conserving it for future generations? Today’s cultural institutions like galleries, archives, museums and heritage sites are evolving. They’re designed to be much more accessible and interactive. As such, they’re attracting more diverse audiences every day. The Graduate Certificate of Cultural Heritage and Museum Studies provides you with the range of hands-on skills and theoretical knowledge required to work in all kinds of cultural institutions. Innovation and new technologies are pushing professionals to think creatively and to engage with audiences in new ways. That’s why this course encourages you to become an independent, innovative and creative thinker who can confidently undertake a range of tasks in a variety of roles. Your studies at graduate certificate level are the perfect foundation to continue in the cultural heritage and museum studies suite of courses, qualifying you for the one-year Master of Cultural Heritage and Museum Studies. For those who have just completed their undergraduate degree, already volunteer in museums and heritage sites or are ready for a new and exciting career they’ll love, this course is the ideal way to start professionalising. The core units you’ll study, focusing on cultural heritage and museum fundamentals, include: Cultural Heritage and Museum Practice Museums, Heritage and Society Plus, you’ll have a choice of two elective units, some of which include: Heritage Practice: Fundamentals World Heritage Digital Interpretation Managing Collections"
Graduate Certificate of Education Business Leadership,The Graduate Certificate Business Leadership with Education Policy focuses on contemporary practices and current issues related to business leadership roles within the educational sector. The course offers a comprehensive understanding of planning for resource implications that impact education outcomes while also providing essential strategies in achieving accountability towards various stakeholders involved in educating students.,"This Graduate Certificate of Education Business Leadership is grounded in contemporary practices and current issues in education policy. Participants will learn how to lead diverse teams and gain a comprehensive, contemporary and theoretical knowledge that will enable business leaders to develop and enact strategic planning with intuitive financial and governance practices. This education business course will also help you become more confident in business leadership roles, and enhance your career progression options. You will gain insights into planning for resource implications that impact educational outcomes and learn essential strategies to use in the profession. The course is focused on ensuring accountability to a broad range of stakeholders in education."
Graduate Diploma of Advanced Nursing,The Graduate Diploma of Advanced Nursing at the University of Sydney is a highly respected and well-regarded nursing program that prepares students for senior roles within their chosen specialty area or areas related to advanced practice such as education leadership management research etc..,"With job growth of 13.9% projected for registered nurses by 2026, there is strong demand for nurses to take on leadership and mentoring roles in this vital sector. As a registered nurse, Deakin’s Graduate Diploma of Advanced Nursing will prepare you to meet that demand, providing a pathway to expand on your advanced practice knowledge and improve healthcare delivery in your workplaceYou will study at one of Australia’s largest and most established nursing schools. Ranked 20th in the world,^ the School’s cutting-edge research is recognised as well above world standard#. Our strong industry connections, mean you will be guided by experts in nursing as you explore the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework in which the care of patients takes place. Are you ready to take on a leadership role as the next step in your nursing career? Open the door to senior roles in nursing with the Graduate Diploma of Advanced Nursing. This course enables you to gain a varied understanding of advanced nursing practice, without narrowing your focus to a particular specialty area. In addition to two core units, you can select six elective units tailored to your interests and career goals. Core units will expand your professional judgement by exploring ethical practices in the workplace, as well as the policies and frameworks which govern patient care. You can then choose your electives from complementary areas of health practice related to your interests, or undertake studies preparing you for roles in education, leadership or management. You will be challenged to become a leader in evidence-based practice, and a change agent to improve the quality of nursing care and patient outcomes. Designed for postgraduate nursing students, our innovative online program delivers a rich, interactive and empowering learning experience that will encourage critical thinking, problem-solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff allow you to study flexibly around your work and other commitments, without compromising quality or support. Graduates are prepared to handle the contemporary challenges nurses may face with a course that responds to industry trends and demands. You will also learn how to make a difference through roles in areas such as practice, education, leadership and research. *2021 Employment Outlook – for the five years to November 2026, Australian Government National Skills Commission.^2022 ShanghaiRankings Ranking of Academic Subjects.#Excellence in Research Australia (ERA) 2018."
Graduate Diploma of Creative Arts,"The Graduate Diplomacy program is designed for individuals who want a career change from the corporate world and are looking to pursue their creative interests while also gaining practical experience through projects with industry professionals or other students on campus. The six elective units provide opportunities in various fields such as writing/camera documentation practice arts marketing introduction, digital photography design thinking problem solving skills development, visual communication design project work, dance and drama studio hands-on training, professional photographic light studios for individual use, art galleries to showcase their creative projects with industry professionals or other students on campus. The program also offers opportunities in further study such as articulating into a Master of Creative Arts upon successful completion while continuing building one's artistic expertise through elective units that provide practical experience and hands-on training facilities like TV broadcast studios for photography, dance/drama studio spaces to work with industry professionals or other students on campus.","Upskill for the creative career you’ve always wanted with the Graduate Diploma of Creative Arts. Collaborate on real-world creative projects to build your portfolio and customise your degree to match your personal and professional interests.Ready to join a high-achieving group of like-minded creatives on the path to career progression? The Graduate Diploma of Creative Arts allows you to hone your creative practice alongside students from our six creative arts disciplines: visual arts, photography, animation and motion capture, visual communication design, dance and drama. By collaborating with artists from different fields, you’ll broaden your understanding of creativity while developing transferable skills that employers value, such as imaginative thinking, problem solving and leadership. On top of core units of study, you’ll strengthen your creative repertoire with six elective units. Your electives can play to your strengths, or help you upskill in an unfamiliar discipline. Some of your elective options include: Writing with the Camera Documentary Production Practice Arts Marketing Introduction to Digital Photography Design Thinking and Problem Solving. Elective units provide lots of practical experience, including industry-relevant creative projects that challenge you to apply theoretical frameworks in teams and as an individual. You can also get hands-on in our professional standard facilities, including TV broadcast studios, dance and drama studios, a professional photographic light studio, visual arts and design studios and dedicated gallery spaces. While there are many exciting career pathways for graduates, there are also opportunities for further study upon successful completion of the course. If you want to continue building your creative expertise, you might like to articulate into Deakin’s Master of Creative Arts."
Bachelor of Biomedical Science,"The Bachelor of Biomedical Science (BBS) is an undergraduate degree program that provides students with the knowledge necessary to become a successful biomedical scientist or healthcare professional through hands-on laboratory experiences and practical work placement opportunities within industry settings such as hospitals, pharmaceutical companies, research organizations. The flexibility in choosing specializations allows for customization based on personal interests while maintaining core competencies required by employers seeking highly skilled professionals like graduates of BBS programs are expected to be: analytical thinking skills; critical reasoning ability; communication proficiency (both written and oral); problem-solving abilities with a focus towards finding solutions that benefit patients or society as whole.","Develop an in-depth understanding of human biology with the Bachelor of Biomedical Science and graduate with the skills and experience to play an important role in the diagnosis and treatment of diseases at molecular, cellular and systems levels. Expertise in biology and the science behind disease puts you in a position to make a real difference. Explore early diagnosis, disease progression and prognosis, and the role of pharmaceutical science in the treatment of disease and improved health. You can customise your degree by choosing from a broad range of specialisations, enabling you to learn more about what you love and become an expert in your field of interest. Graduate ready for your future career through wide-ranging practical experiences. You will get hands-on training in our world-class laboratories, testing your findings in real-life biomedical settings and gain industry experience with 80 to 160 hours of work placement.Want to make a real difference in people’s lives? The flexibility of Deakin’s Bachelor of Biomedical Science gives you the freedom to pursue a rewarding career in health, medicine or science. You will build your fundamental knowledge of human biology and health and focus on one of six specialisations: environmental health infection and immunity medical biotechnology medical genomics molecular life sciences pharmaceutical science Your chosen specialisation, along with three elective units and work placement experiences, enables you to tailor your degree to your unique passions and career aspirations., you will learn more about the biomedical science topics that matter to you, get more out of your qualification and enhance your employability once you graduate. Everything you learn through this course is supported by practical and authentic experiences. Take the theory you learn in the classroom and apply it in our laboratory. Then take your observations from the lab and test them in real-life biomedicine settings through work placement opportunities. You will obtain crucial industry experience through 80 to 160 hours of work placement. Not only will you be getting hands-on with the latest tools and facilities, you will also develop valuable professional networks and experience firsthand what it’s like to be a biomedical scientist. The next generation of biomedical scientists need more than just technical prowess to adapt to an evolving industry. That’s why we’ve introduced career education to the curriculum. You will cover topics relating to career readiness and develop transferable soft skills, such as communication, critical thinking, problem solving, digital literacy and teamwork – everything you need to become a highly sought-after graduate and valued employee."
Graduate Certificate of Advanced Nursing,The Graduate Certificate of Advanced Nursing is a flexible online program designed for postgraduate nursing students to prepare them for senior roles and advanced practice positions within the healthcare sector.,"With job growth of 13.9% projected for registered nurses by 2026,* there is strong demand for nurses to take on senior roles in this vital sector. Deakin’s Graduate Certificate of Advanced Nursing will help you meet this demand, preparing you to lead the way in driving positive patient outcomes across a variety of roles.Study at one of Australia’s largest and most established nursing schools, ranked 20th in the world for nursing courses.^ You’ll learn from the best, with course subject matter informed by the School’s cutting-edge research, which is recognised as well above world standard.# Our strong industry connections, mean you will be guided by experts in nursing as you explore the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework in which the care of patients takes place.Are you ready to take on a senior role in the growing nursing sector? Study the Graduate Certificate of Advanced Nursing to build on your existing clinical skills and to prepare yourself for a senior role in the nursing sector. This course has been flexibly designed to reflect current trends and allows you to gain a varied understanding of advanced nursing practice, without narrowing your focus to a singular specialty area. In addition to one core unit, you can select three elective units based around your interests and career goals. During your core unit, you will critically examine clinical frameworks which govern patient safety and risk management, allowing you to better implement safe health care standards in your workplace. You can then tailor your electives to suit your goals, with units available which will prepare you for roles in management, education and research. You will be challenged to become a leader in evidence-based practice, and a change agent to improve the quality of nursing care and patient outcomes. Designed for postgraduate nursing students, our innovative online program delivers a rich, interactive and empowering learning experience that will encourage critical thinking, problem-solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff allow you to study flexibly around your work and other commitments, without compromising quality or support. Graduates are prepared to handle the contemporary challenges nurses may face with a course that responds to industry trends and demands. Plus, you will learn how to drive positive change in the nursing sector. *2021 Employment Outlook – for the five years to November 2026, Australian Government National Skills Commission. ^2022 ShanghaiRankings Ranking of Academic Subjects. #Excellence in Research Australia (ERA) 2018."
Graduate Certificate of Cloud Architectures and Solutions,"The course ""Cloud Computing: Architecture & Solutions"" is designed for experienced IT professionals who want to upskill and equip themselves with the specialist knowledge necessary to leverage cloud-related opportunities that enhance business operations such as cost reductions, improved agility of businesses through automation solutions. The focus on technical skills in areas like architecture design, data networking, storage systems, virtualization technology, large scale deployment mechanisms will enable you gain expertise required for designing high performing computing technologies and implementing them into the organization's infrastructure to improve its performance capabilities","In a fast-paced and data-driven digital world, cloud computing is an area of significant business interest. The rapid adoption of cloud technologies in many organisations and businesses has driven the need for IT professionals skilled in cloud computing, architectures, and solutions. This course responds to the growing demand for skilled professionals equipped with the specialised knowledge and experience necessary to leverage cloud-related opportunities to enhance business operations. There are many benefits of building and deploying cloud architectures and solutions for businesses, including cost reductions and improvements to improve the agility and efficiency of business operations. This course is ideally suited to experienced IT professionals, network administrators and systems engineers who are keen to upskill and equip themselves with the specialist knowledge in cloud computing and enrich their industry experience. Want to gain expert cloud computing skills to advance your career? Throughout the course, you will develop an advanced understanding of current and emerging trends in cloud computing technologies. Specifically, the course will focus on the development of technical and analytical skills in the areas of cloud computing architecture and solutions, data networking, automation, storage, virtualisation, large-scale deployment, failover and load-balancing mechanisms. Depending on your particular area of interest, you will also have the opportunity to hone your studies in either networks and security (to focus on risk assessments, mitigation and the implementation of security protocols) or software architecture and scalability for the Internet of Things (IoT). Following the completion of this course, you will be highly sought after for specialist roles within IT and related industries that require expertise to design, develop and deploy cloud solutions that enhance business operations with high-performing computing technologies."
